Benchmark,Method,AUROC,AUPRC,F1,Accuracy,Precision,Recall,N
TRUTHFULQA,ASV: D̂ (Fractal Dimension),0.5350,0.0520,0.1125,0.8203,0.0720,0.2571,790
TRUTHFULQA,ASV: coh★ (Coherence),0.4244,0.0453,0.1105,0.7962,0.0685,0.2857,790
TRUTHFULQA,ASV: r (Compressibility),0.2497,0.0285,0.0848,0.0443,0.0443,1.0000,790
TRUTHFULQA,ASV: Combined Score,0.4328,0.0523,0.1345,0.8696,0.0952,0.2286,790
TRUTHFULQA,Baseline: Perplexity,0.6149,0.0749,0.1733,0.8430,0.1130,0.3714,790
TRUTHFULQA,Baseline: Mean Token Prob,0.5271,0.0487,0.1004,0.4785,0.0544,0.6571,790
TRUTHFULQA,Baseline: Min Token Prob,0.5904,0.0812,0.2000,0.9392,0.2400,0.1714,790
TRUTHFULQA,Baseline: Entropy,0.3898,0.0397,0.0896,0.9228,0.0938,0.0857,790
FEVER,ASV: D̂ (Fractal Dimension),0.5776,0.3911,0.5030,0.3360,0.3360,1.0000,2500
FEVER,ASV: coh★ (Coherence),0.4960,0.3496,0.5030,0.3360,0.3360,1.0000,2500
FEVER,ASV: r (Compressibility),0.3113,0.2461,0.5030,0.3360,0.3360,1.0000,2500
FEVER,ASV: Combined Score,0.5275,0.3424,0.5030,0.3360,0.3360,1.0000,2500
FEVER,Baseline: Perplexity,0.5975,0.4459,0.5053,0.3436,0.3383,0.9976,2500
FEVER,Baseline: Mean Token Prob,0.5629,0.4204,0.5084,0.3564,0.3420,0.9905,2500
FEVER,Baseline: Min Token Prob,0.5442,0.3860,0.5070,0.3652,0.3430,0.9714,2500
FEVER,Baseline: Entropy,0.3997,0.2835,0.5030,0.3360,0.3360,1.0000,2500
HALUEVAL,ASV: D̂ (Fractal Dimension),0.5062,0.5081,0.6716,0.5056,0.5056,1.0000,5000
HALUEVAL,ASV: coh★ (Coherence),0.5107,0.5122,0.6716,0.5056,0.5056,1.0000,5000
HALUEVAL,ASV: r (Compressibility),0.5060,0.5095,0.6716,0.5056,0.5056,1.0000,5000
HALUEVAL,ASV: Combined Score,0.5043,0.5151,0.6716,0.5056,0.5056,1.0000,5000
HALUEVAL,Baseline: Perplexity,0.5000,0.5056,0.6716,0.5056,0.5056,1.0000,5000
HALUEVAL,Baseline: Mean Token Prob,0.4980,0.5083,0.6718,0.5062,0.5059,0.9996,5000
HALUEVAL,Baseline: Min Token Prob,0.4846,0.4959,0.6716,0.5056,0.5056,1.0000,5000
HALUEVAL,Baseline: Entropy,0.5042,0.5144,0.6716,0.5056,0.5056,1.0000,5000
